7.882514968514442444e-03,2.870348654687404633e-02,7.828707695007324219e-01,9.997923374176025391e-01,-4.162264987826347351e-03,1.993864402174949646e-02,-5.381763330660760403e-04,8.526540547609329224e-02,1.571575403213500977e-01,8.546315133571624756e-02,1.196719557046890259e-01,-2.024163901805877686e-01,-2.177190482616424561e-01,6.294064223766326904e-02,-5.412407219409942627e-02,-1.026005893945693970e-01,1.171853840351104736e-01,-2.312964051961898804e-01,1.557203531265258789e-01,4.326215945184230804e-03,-3.377003222703933716e-02,9.699856489896774292e-02,-1.963719539344310760e-02,2.994585633277893066e-01,-5.093896389007568359e-01,1.051670074462890625e+00,-3.219252824783325195e-01,1.165189296007156372e-01,1.965454220771789551e-01,4.613065719604492188e-02,-2.360555678606033325e-01,5.223875641822814941e-01,1.063402414321899414e+00,2.812156379222869873e-01,1.073844954371452332e-01,-1.691948622465133667e-01
7.545741740614175797e-03,2.630450204014778137e-02,7.827287316322326660e-01,9.997222423553466797e-01,-4.033583216369152069e-03,2.312640100717544556e-02,-2.071976196020841599e-03,8.021247386932373047e-02,1.616424471139907837e-01,9.165046364068984985e-02,1.180274114012718201e-01,-2.019564360380172729e-01,-2.225506305694580078e-01,5.580243468284606934e-02,-5.140524357557296753e-02,-1.050907373428344727e-01,1.188389360904693604e-01,-2.360415756702423096e-01,1.555406153202056885e-01,6.971755065023899078e-03,-2.980605326592922211e-02,9.708376973867416382e-02,-1.973676122725009918e-02,2.995507121086120605e-01,-4.969989061355590820e-01,1.046651363372802734e+00,-3.193262815475463867e-01,1.173648759722709656e-01,1.997637748718261719e-01,4.458011686801910400e-02,-2.398799210786819458e-01,5.191578269004821777e-01,1.062810540199279785e+00,2.861313819885253906e-01,1.104744523763656616e-01,-1.703000217676162720e-01
8.028807118535041809e-03,2.324567548930644989e-02,7.825095653533935547e-01,9.996530413627624512e-01,-3.551625413820147514e-03,2.584584429860115051e-02,-3.628242528066039085e-03,7.591670006513595581e-02,1.661490052938461304e-01,9.564202278852462769e-02,1.171757876873016357e-01,-1.991012692451477051e-01,-2.287785559892654419e-01,4.809349402785301208e-02,-4.779887571930885315e-02,-1.064763590693473816e-01,1.226094961166381836e-01,-2.414097338914871216e-01,1.518050581216812134e-01,8.874967694282531738e-03,-2.572527900338172913e-02,9.937807917594909668e-02,-1.794683001935482025e-02,2.981677651405334473e-01,-4.841814339160919189e-01,1.042273879051208496e+00,-3.168490827083587646e-01,1.158419698476791382e-01,2.021666020154953003e-01,4.264839738607406616e-02,-2.435951381921768188e-01,5.176860690116882324e-01,1.060972690582275391e+00,2.963415980339050293e-01,1.101762130856513977e-01,-1.739041954278945923e-01
8.875717408955097198e-03,1.924273930490016937e-02,7.824652194976806641e-01,9.995967745780944824e-01,-2.205524127930402756e-03,2.791647054255008698e-02,-4.700152203440666199e-03,7.231515645980834961e-02,1.700303256511688232e-01,9.834161400794982910e-02,1.182199344038963318e-01,-1.928697079420089722e-01,-2.385556995868682861e-01,4.251892864704132080e-02,-4.484049975872039795e-02,-1.085230112075805664e-01,1.264400333166122437e-01,-2.475278526544570923e-01,1.484459787607192993e-01,9.650714695453643799e-03,-2.323167212307453156e-02,1.027435287833213806e-01,-1.486704032868146896e-02,2.953001558780670166e-01,-4.742298722267150879e-01,1.041500568389892578e+00,-3.151571154594421387e-01,1.153372973203659058e-01,2.027244865894317627e-01,4.165716469287872314e-02,-2.457522749900817871e-01,5.178835391998291016e-01,1.059120416641235352e+00,3.046796321868896484e-01,1.097224354743957520e-01,-1.761497408151626587e-01
1.004019752144813538e-02,1.433691196143627167e-02,7.831747531890869141e-01,9.995455145835876465e-01,2.807021082844585180e-04,2.967998012900352478e-02,-5.278065335005521774e-03,6.562105566263198853e-02,1.731861382722854614e-01,1.020094379782676697e-01,1.229761093854904175e-01,-1.799549311399459839e-01,-2.487903982400894165e-01,3.905962780117988586e-02,-4.345032200217247009e-02,-1.102451607584953308e-01,1.291722208261489868e-01,-2.522315382957458496e-01,1.460152268409729004e-01,1.010097004473209381e-02,-2.288136258721351624e-02,1.060840710997581482e-01,-1.298060081899166107e-02,2.918777167797088623e-01,-4.674313366413116455e-01,1.045855998992919922e+00,-3.131717443466186523e-01,1.166686192154884338e-01,2.001552134752273560e-01,4.042967781424522400e-02,-2.464324831962585449e-01,5.179831981658935547e-01,1.054813742637634277e+00,3.174351751804351807e-01,1.072309538722038269e-01,-1.752559989690780640e-01
1.130171678960323334e-02,8.418109267950057983e-03,7.841460108757019043e-01,9.994984269142150879e-01,4.615648649632930756e-03,3.087420947849750519e-02,-5.329614039510488510e-03,4.847621917724609375e-02,1.715815216302871704e-01,9.767633676528930664e-02,1.515402346849441528e-01,-1.687911450862884521e-01,-2.519178986549377441e-01,3.771740943193435669e-02,-4.508459568023681641e-02,-1.132900565862655640e-01,1.308369487524032593e-01,-2.596597969532012939e-01,1.439414769411087036e-01,9.836192242801189423e-03,-2.582775801420211792e-02,1.107269525527954102e-01,-9.652593173086643219e-03,2.888568341732025146e-01,-4.632968306541442871e-01,1.048621535301208496e+00,-3.126238286495208740e-01,1.216397359967231750e-01,1.935489326715469360e-01,4.350505769252777100e-02,-2.448545098304748535e-01,5.128040909767150879e-01,1.047637343406677246e+00,3.291535377502441406e-01,1.046779900789260864e-01,-1.755592674016952515e-01
1.266163587570190430e-02,2.322019310668110847e-03,7.852041125297546387e-01,9.994481205940246582e-01,8.709516376256942749e-03,3.170357644557952881e-02,-4.744926001876592636e-03,-5.305243656039237976e-03,1.732359677553176880e-01,8.211737871170043945e-02,2.649110853672027588e-01,-1.884080916643142700e-01,-2.504575252532958984e-01,3.958854451775550842e-02,-4.617945477366447449e-02,-1.155269593000411987e-01,1.291042119264602661e-01,-2.646677792072296143e-01,1.394425779581069946e-01,1.005178876221179962e-02,-2.644728869199752808e-02,1.166545152664184570e-01,-8.512503467500209808e-03,2.870916128158569336e-01,-4.608046114444732666e-01,1.046188950538635254e+00,-3.110449314117431641e-01,1.241044774651527405e-01,1.878582686185836792e-01,4.844439402222633362e-02,-2.433817535638809204e-01,5.044069290161132812e-01,1.037169098854064941e+00,3.402872085571289062e-01,1.010690852999687195e-01,-1.790381073951721191e-01
1.432600989937782288e-02,-3.128064330667257309e-03,7.854888439178466797e-01,9.994193911552429199e-01,1.175828464329242706e-02,3.165254369378089905e-02,-4.556396510452032089e-03,-7.634427398443222046e-02,1.761437803506851196e-01,7.425472140312194824e-02,4.199392199516296387e-01,-2.131310552358627319e-01,-2.386178970336914062e-01,4.513010755181312561e-02,-4.551395401358604431e-02,-1.158817037940025330e-01,1.250266432762145996e-01,-2.683062851428985596e-01,1.322003453969955444e-01,1.147324685007333755e-02,-2.225395664572715759e-02,1.251354664564132690e-01,-7.581057958304882050e-03,2.857017815113067627e-01,-4.618751108646392822e-01,1.040379047393798828e+00,-3.073211014270782471e-01,1.203418225049972534e-01,1.837237477302551270e-01,5.441337078809738159e-02,-2.458086013793945312e-01,5.008897781372070312e-01,1.029988050460815430e+00,3.534078598022460938e-01,9.738957881927490234e-02,-1.823293119668960571e-01
1.677024364471435547e-02,-7.057636976242065430e-03,7.855568528175354004e-01,9.993962645530700684e-01,1.537588983774185181e-02,3.074917756021022797e-02,-5.013720598071813583e-03,-1.470294147729873657e-01,1.818135678768157959e-01,8.692886680364608765e-02,5.851998925209045410e-01,-2.490640133619308472e-01,-2.116520851850509644e-01,5.277830734848976135e-02,-4.862344264984130859e-02,-1.162361875176429749e-01,1.244387254118919373e-01,-2.771195471286773682e-01,1.315812170505523682e-01,1.436239294707775116e-02,-1.781163737177848816e-02,1.348456293344497681e-01,-5.689433775842189789e-03,2.835422456264495850e-01,-4.659079015254974365e-01,1.031182527542114258e+00,-2.998785674571990967e-01,1.190663948655128479e-01,1.809886246919631958e-01,5.597333237528800964e-02,-2.531413137912750244e-01,5.007496476173400879e-01,1.025989890098571777e+00,3.655985295772552490e-01,9.698867052793502808e-02,-1.864228695631027222e-01
2.105507627129554749e-02,-1.042412780225276947e-02,7.853326797485351562e-01,9.993515014648437500e-01,1.929346658289432526e-02,2.984589897096157074e-02,-5.782971624284982681e-03,-2.017403841018676758e-01,1.917320340871810913e-01,1.166168525815010071e-01,7.128450274467468262e-01,-2.867790162563323975e-01,-1.805634796619415283e-01,6.245069205760955811e-02,-5.404495075345039368e-02,-1.177362129092216492e-01,1.252314895391464233e-01,-2.860254645347595215e-01,1.327547878026962280e-01,1.803855411708354950e-02,-1.400775182992219925e-02,1.429331749677658081e-01,-1.086092321202158928e-03,2.799922823905944824e-01,-4.717542827129364014e-01,1.024973750114440918e+00,-2.917021214962005615e-01,1.172838211059570312e-01,1.792493760585784912e-01,5.555346235632896423e-02,-2.622554302215576172e-01,5.021652579307556152e-01,1.029355645179748535e+00,3.771308958530426025e-01,9.729932993650436401e-02,-1.906114220619201660e-01
